Produk,Rating,Ulasan
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"modelnyaa kereenn, pas ukurannya, lokal pride mantaapp pokoknya dahh"
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Sepatunya bagus sesuai ukuran nomer 43
Ventela Basic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus sepatunya mudah2an awet
Ventela Reborn Low Reflective Black Natural [ORIGINAL] - Hitam Putih Gading,0,Realll SE reall² nya ok banget lah pokok nya
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,pengiriman cepat dan sepatu nya bagus euy. makasih
Ventela Public Fat Low All Black [ORIGINAL],0,kecee
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus banget sesuai ekspetasi
Ventela Olympic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus
Ventela Reborn Low Reflective Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus dan keren
Ventela Reborn Low Reflective Black Natural [ORIGINAL] - Hitam Putih Gading,0,Spatu nya udh nyampe..pas ukuranx...kualitas ok...tp tdk dpt kaos kaki...tdk apa²...tks
Ventela Basic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,🫵😭
Ventela Republic High Cream [ORIGINAL],0,Lumayan bagus
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Pesen kemarin udah datang cepat ori lagi makasih Abang kurir narkoba dan tiktok
Ventela Republic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,ok mantap
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Bentuk dan ukuran: Pas
Warna: Sesuai
Bagus bgtt"
Ventela Public Low All Black [ORIGINAL] - Hitam,0,Cuma agak lama pengiriman ny klo bisa agak di bedakan sma yg harga 80rban dri di lihat kasat mata ny soal ny klo cuma di lihat kasat mata gak ad beda ny sma yg harga kw k... 
Ventela Public High White [ORIGINAL] - Putih,0,Bagusss
Ventela Public Fat Low Black Natural [ORIGINAL],0,"sepatunua bagus, original, pelayanan ramah, pengiriman lumayan cepat kebali. sangat recomended."
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,Mantap
Ventela Basic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,BAGUS POLLLL
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,𝙼𝚊𝚗𝚝𝚊𝚙 𝚜𝚊𝚗𝚐𝚊𝚝 𝚋𝚎𝚛𝚔𝚞𝚊𝚕𝚒𝚝𝚊𝚜
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,bagus sesuai produk 👍
Ventela Republic Low Black Gum [ORIGINAL],0,"barang sesuai pesanan, pengiriman cepat, semoga awet & tahan lama"
Ventela Fat Boy Low Black Natural [OFFICIAL],0,Sesuai sama deskripsi
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus dan sesuai dengan deskripsi.☺️😊😊😊😊😊😊😊
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Good job
Ventela Icon Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Bentuk dan ukuran: Pas jika dipakai menggunakan kaos kaki
Aroma: Baru dari toko
Daya tahan pakai: Kurang tahu saya tahan nya soalnya dipakai buat kerja dijahit dlu biar l... "
Ventela Ethnic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Bagus, pengiriman cepat 👍"
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Alhamdulillah paket pesanan sudah sampai dan sesuai dengan keinginan anak
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus sesuai pesanan
Ventela Republic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,oke
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"alhamdulillah sampe, anak pun senang.
sepatu sudah teruji awet nyaman di pake.
thx ventela"
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,bagus cums gede banget
Ventela Reborn Low Reflective Black Natural [ORIGINAL] - Hitam Putih Gading,0,keren syekalii
Ventela Reborn Low Reflective White [ORIGINAL] - Putih,0,Mayan
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"barang sesuai, pengiriman cepat, penjual responsif.. mantap.."
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Sangat cocok, nyaman dipakai"
Ventela Public High Cream [ORIGINAL],0,Pengiriman cepat
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Cakep bgt dach, sesuai ekspektasi 😀"
Ventela Republic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,keren sepatunya
Ventela Ethnic High All Black [ORIGINAL] - Hitam,0,Bagus
Ventela Alpha Low All Black [ORIGINAL] - Hitam,0,Barang bagus
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Mantap gan 👍👍👍👍
Ventela Public Low Dark Green [ORIGINAL] - Hijau,0,Bagus
Ventela Public High Cream [ORIGINAL],0,Bagus
Ventela Reborn Low Reflective Black Natural [ORIGINAL] - Hitam Putih Gading,0,Gimana nih cara retur nya kebesar 😭😭😭
Ventela Alpha Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,keren barangnya bahanya bagus semoga awet
Ventela Ethnic Low White [ORIGINAL] - Putih⠀⠀⠀⠀⠀⠀⠀⠀,0,Sepatu nya bagus ori tapi warna nya terlalu putih kirain warna ny putih tulang
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,mantap awet banget ini sepatu
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Model nya keren pas di kaki
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,Mantap
Ventela Victory Low Black White [ORIGINAL] - Hitam Putih,0,Sesuai pesanan
Ventela Reborn Low Reflective Black Natural [ORIGINAL] - Hitam Putih Gading,0,keren banget sepatunyaaaa aslii cepat banget juga pengirimannyaa🤩🤩
Ventela Alpha Low Cream [ORIGINAL],0,Bagusss. Harus dibawah satu ukuran biasanya kalo mau co
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Ventela saya udah 3 taunan kurang, dan baru ganti sekarang☺"
Ventela Reborn Low Reflective White [ORIGINAL] - Putih,0,Bagus
Ventela Public Fat Low All Black [ORIGINAL],0,Bagus banget
Ventela Reborn Low Reflective Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus banget sesuai gambar
Ventela Public Fat Low Black Natural [ORIGINAL],0,sukaa bangett😍
Ventela Icon White [ORIGINAL] - Putih⠀⠀⠀,0,Bagus
Ventela Alpha Low All Black [ORIGINAL] - Hitam,0,Pas sekali sesuai pesanan
Ventela Olympic Low Black White [ORIGINAL] - Hitam Putih,0,Real sesuai gambar..tetap seperti ini..terbaiiiik
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,barangnya oke semuaa nya okee
Ventela Public Fat Low Grey [ORIGINAL],0,"produk original, real pict mantab,empuk dipakai,tidak seperti ventela yang lain,sangat nyaman digunakan tidak terasa sakit atau sempit, semoga warna sepatu tidak mudah pu... "
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Tali nya kurang panjang
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Pengiriman cepat
Ventela New Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,barang nya bagus dan saya dapat diskon juga dari toko ini
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Cakep Sepatunya
Ventela Fat Boy Low Black Natural [OFFICIAL],0,Mantap kirain dapet stiker huuuuuu
Ventela Public Low Grey [ORIGINAL] - Abu⠀,0,-
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Mantul
Ventela Ethnic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,mantap
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bentuk dan ukuran: Ok sesuai
Ventela Alpha Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Sepatu ori
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"paket sudah sampai,barangnya sesuai.alas nya juga empuk.mudah mudahan pas sama awet,jangan ragu beli di toko ini"
Ventela Bts 70s Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Product bagus sesuai harga. Proses dan pengiriman sangat cepat
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Mudah mudahan awet
Bentuk dan ukuran: Pas
Warna: Hitam putih
Pokoknya kerenlah gak nyesel beli disini 
Maaf tak kasih gambarnya"
Ventela Alpha Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Cakep polll tp kepanjangan dikit salah ambil size😭🤣 overall emg sepatunya cakep😋👍🏻
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Gokss
Warna: Hitam"
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Sesuai foto, ukurannya pas, artinya sesuai sama list size insole yang tertera, bahannya bagus karena premium, insole empuk sehingga nyaman untuk dipakai, dan bau lemnya m... "
Ventela Ethnic High White [ORIGINAL] - Putih,0,review tes ketahanan lem
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Kualitas tidak perlu di ragukan lagi, mantap.."
Ventela New Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus baanget kualitas produknya.. cuma kebesaran kayanya d anjurkn buat turun 1 no dari no biasa
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,God
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Mantap kualitas oke
Dan nyaman dipakai"
Ventela Public Fat Low All Black [ORIGINAL],0,mntp
Ventela Alpha Low White [ORIGINAL] - Putih,0,mantap
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,bagus
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,suka banget bagus
Ventela Basic Low All Black [ORIGINAL] - Hitam,0,sayang banget padahal udah bagus barang nya tapi kekecilan
Ventela Evo Low Black White [ORIGINAL],0,👍👍👍
Ventela Republic High Cream [ORIGINAL],0,Alhamdulillah paket telah sampai dan saya terima dalam keadaan baik
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Trmh ksh barang SDH smpai sesuai pesanan
Ventela Basic Low All Black [ORIGINAL] - Hitam,0,Sesuaii deskripsi
Ventela Republic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus barang nya walau dalam nya agak remuk
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Cukakkkkkk! Sesuai ekspektasi
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,kebesaran
Ventela Public High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Sukak bgt pokoknya.. Terbaik😍
Ventela Public Fat Low All Black [ORIGINAL],0,Warna: Bagus
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,mantap
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"bagus ,bneran orii 
mantapp lah"
Ventela Reborn Low Reflective Black Natural [ORIGINAL] - Hitam Putih Gading,0,Mantap
Ventela Ethnic High All Black [ORIGINAL] - Hitam,0,fast respon... good bgt 👍
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,Cakepp
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagussss
Ventela Basic Low All Black [ORIGINAL] - Hitam,0,"Sepatu sudah sampe
Daya tahan pakai: Ventela awet saya baru ganti udah dua tahun pakai ventela lansung d pakai sekolah"
Ventela Republic High Cream [ORIGINAL],0,Bagus
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Sangat bagus cumen kegedean sedikit tp gak apa lah basi nya
Ventela Victory Low Black White [ORIGINAL] - Hitam Putih,0,Trnyta no 40 ny kebesaran d ank ak.tp gpp biar bs dpke lama..
Ventela Alpha Low All Black [ORIGINAL] - Hitam,0,"siiiiipppp dech pokokny,puas banget 🫰"
Ventela Republic High White [ORIGINAL] - Putih,0,Okey bagus
Ventela Ethnic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"mantaf fengiriman cefat, fackaging cukuf rafih"
Ventela Alpha Low Cream [ORIGINAL],0,"Bagussss bngttt, mantep"
Ventela Public High White [ORIGINAL] - Putih,0,Bagus
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,"Warna: White Brown
Bentuk dan ukuran: Sz 40
Untuk barang nya real pict, dan menurutku dengan harga segitu worth it banget karna kualitas produknya emang se baguss itu, ne... "
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Bagus bangettt 
Pengiriman cepat 
Barang original"
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,PERFECT 👏🏻👏🏻
Ventela Public High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Sepatu nya bagus, nyaman d kaki, ukurannya pas, model nya kereen👍🏻"
Ventela Ethnic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Kalok ndk beli di sini nyesel
Ventela Ethnic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,size : 40 pas
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Bagus semoga ori
Bentuk dan ukuran: Sesuai"
Ventela Republic High Cream [ORIGINAL],0,"Fast received, amanah sesuai pesanan. Nice, thanks. Rekomend CINTAILAH PRODUK INDONESIA
Semoga berkah Ventela.  makin bisa bukain lapangan kerja buat lokal indo. Semangat... "
Ventela Ethnic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Barangnya bagus seperti biasa
Ventela Ethnic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"bagus cuman bahannya agak keras banget ya mungkin karena baru, so far good"
Ventela Reborn Low Reflective Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Barang sesuai, kualitas bagus, pengiriman cepat, respon penjual bagus, ukuran sesuai pas dipake, mantap 👍"
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,"Bahannya cakep, enak dipakai, minus licin doang kalau di pakai di tempat yang berlumut"
Ventela Ethnic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,ntaps
Ventela Fat Boy Low Black White [OFFICIAL],0,cakepp sepatunya
Ventela Basic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Barang nya bagus sekali dan pengiriman nya cepat kurir nya juga ramah
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Alhamdulillah paket sudah sampe, cepet bgt kirimnya terimakasih"
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Keren, ori puas sangattt buat kado ultah."
Ventela Alpha Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Pas
Ventela Public High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Bagus sepatu nya, ukuran dan warna sesuai"
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Pesanan sdh sampai. Pengiriman cepat. Barang sesuai pesanan. Semoga awet.
Ventela Evo Low All Black [ORIGINAL],0,👍
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus barangnya tapi kotaknya ga bagus di packing jadi lecet
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,Bagussssss
Ventela Republic Low White [ORIGINAL] - Putih,0,bagus sesuai pict
Ventela Bts 70s Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"barang ori , bagus , kuat , masukan buat toko nya kalo bisa adain ukuran big size 45,46,47"
Ventela Public Low White [ORIGINAL] - Putih⠀⠀⠀⠀⠀⠀⠀,0,"Bagus, lebih ringan, maaf g ada gambar sudah dipakai piknik"
Ventela Basic Low All Black [ORIGINAL] - Hitam,0,Bagus
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,baguussss...mantaapp
Ventela Public Low Dark Green [ORIGINAL] - Hijau,0,Mantap 100% ori
Ventela Fat Boy Low Black Natural [OFFICIAL],0,👍
Ventela Public Fat Low All Black [ORIGINAL],0,keren banget minus nya cuma pas sampe box nya pada penyok
Ventela Public Low Grey [ORIGINAL] - Abu⠀,0,"Mungkin cuma di aku aja, karena setelah dipakai kakiku lecet kanan kiri.
Solnya berat ya, kanvasnya kasar... untuk manajemen ventella, semoga ke depannya kalo mau launchi... "
Ventela Public Low Navy [ORIGINAL]⠀⠀⠀⠀,0,Keren
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,local 100%
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"mudah""an awet hehe"
Ventela Alpha Low White [ORIGINAL] - Putih,0,"kedepanny tolong lebih perhatian lagi ke pelanggan, pesen 43 dikirim 44 alhasil kebesaran g kepake"
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,bagus!
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,bagus
Ventela Olympic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"respon cepat,pengiriman cepat,nomor pas,produk sesuai deskripsi,daripada beli sepatu kw,mending yang lokal tapi ori"
Ventela Alpha Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"sepatu ketiga ventelaku!
seperti biasa, modelnya selalu ok. model begini cocok dipake buat acara formal/casual (btw aku buat dipake daily ngantor). kualitas juga ok denga... "
Ventela Ethnic High All Black [ORIGINAL] - Hitam,0,top sesuai pesanan
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus banget rekomendasi deh buat yang mau beli gah usah ragu
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"mantapp sihh, sesuai ekspektasi dan gambar 
glossy, bisalah alternatif converse
#lokalterbaik"
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,mantap
Ventela Public Low Dark Green [ORIGINAL] - Hijau,0,Keren banget....
Ventela Alpha Low Cream [ORIGINAL],0,Saran saya buat yang mau CO mendingan down size dari ukuran biasanya
Ventela Olympic Low White [ORIGINAL] - Putih,0,"Keren, brg bagus tidak mengecewakan"
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"insole empuk parah, lem rapih, shade enak ga bikin jari sakit. udah seminggu make belum ada kendala samsekk. mantapp"
Ventela Evo Low Black Natural [ORIGINAL],0,"Sangat bagus, sesuai pesanan👌
Bentuk dan ukuran: Pas👌"
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,bagusss ori
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Bagusss
Belum dicoba"
Ventela Bts 70s Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"pas mantap,kereen euy..
mendarat mulus..🥳"
Ventela Reborn Low Reflective Cream [ORIGINAL],0,Kerenn
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bgus.. Sesuai...pkonya ok deh..😍
Ventela Public Low Grey [ORIGINAL] - Abu⠀,0,dan yap bagus
Ventela Ethnic Low All Black [ORIGINAL] - Hitam,0,amanah
Ventela Alpha Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Sangat rekomended
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,mantap
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,ok
Ventela Ethnic Low White [ORIGINAL] - Putih⠀⠀⠀⠀⠀⠀⠀⠀,0,Makasih buat seller nya kurirnya juga
Ventela Reborn Low Reflective White [ORIGINAL] - Putih,0,Barang bagus tapi pas dateng kardusnya penyok penyok😭
Ventela Olympic Low Black White [ORIGINAL] - Hitam Putih,0,"Bentuk dan ukuran: Pas
Warna: Sesuai dg gmbar
Daya tahan pakai: Semoga awet"
Ventela Alpha Low White [ORIGINAL] - Putih,0,"Bagus, turunin 1 ukuran dari biasa beli"
Ventela Reborn Low Reflective White [ORIGINAL] - Putih,0,"Bagus, turunin 1 ukuran dari biasa beli"
Ventela Reborn Low Reflective Cream [ORIGINAL],0,Kerenn
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,Sepatunya ori nyaman dipakee ♥️ produk lokal yg ga pernah gagal
Ventela Public High Cream [ORIGINAL],0,Perfect 👌
Ventela New Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Trmkh kk sepatunya
bagus dan pas bngt di kaki anak sy"
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,Oke lah yaa
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Godjob sih g prnh gagal
Mskon g prnh awet 6bln sekali harus ganti entah bagaimana anak SMP pake nya🤣"
Ventela New Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Sampai dengan aman
Ventela Public Fat Low Black Natural [ORIGINAL],0,kegedean gua
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagusssss
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,Ekspedisi bermasalah
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"bagus banget sepatu nya, sesuai pesanan pengiriman nya juga cepet bgt.."
Ventela Public Low All Black [ORIGINAL] - Hitam,0,Sepatunya bagus benget 🫶🫶
Ventela Ethnic Low All Black [ORIGINAL] - Hitam,0,"good seller, good product. mimin nya harus dikasih bintang 10"
Ventela Basic Low All Black [ORIGINAL] - Hitam,0,Harus pinter2 cari barang yg ORI ya gaes di era gempuran barang kW harga 100ribuan
Ventela Basic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Bagus barangnya tapi kegedean
Ventela New Public Low White [ORIGINAL] - Putih,0,Pas..sesuai dengan pesanan..
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"build quality sepatu baik, keren untuk anak sekolah. pengiriman cepat. thx ventela"
Ventela Basic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,BAGUS BANGET
Ventela Olympic Low White Brown [ORIGINAL] - Putih Coklat,0,Alhamdulillah nize
Ventela Alpha Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"Pengiriman cpat,,,,barang juga tepat👍🙏🙏🙏"
Ventela Bts 70s High Black Natural [ORIGINAL] - Hitam Putih Gading,0,"pengiriman cepat ,,mudah2an awet .. bagus barangnya"
Ventela Alpha Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,Sesuai
Ventela Fat Boy Low Black White [OFFICIAL],0,Nice mantap
Ventela Ethnic High Black Natural [ORIGINAL] - Hitam Putih Gading,0,barang sampe sesuai pesanan... semoga sepatunya kuat...thank u...
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,bagusss
Ventela Public Fat Low All Black [ORIGINAL],0,Bagus barang nya dan sesuai pesanan
Ventela Basic High White [ORIGINAL] - Putih⠀⠀⠀⠀⠀⠀⠀⠀,0,"Kualitas barang bagus, semoga awet"
Ventela Ethnic Low White [ORIGINAL] - Putih⠀⠀⠀⠀⠀⠀⠀⠀,0,"bentuk sesuai gambar, ukuran pass👍🏻
Warna: putihhhhh"
Ventela Public Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"modelnya keren 
pas dikaki 
bagus bgt sepatunya 
pengemasannya rapih 
pengirimannya juga cepet bgt"
Ventela Ethnic Low Black Natural [ORIGINAL] - Hitam Putih Gading,0,"cepet banget nyampe bru pesen kmrin. ukuran: 42 Bahannya bagus, desain simpel, pokoknya cakep. moga aja awet."
