Produk,Rating,Ulasan
Sepatu Compass Gazelle Low Black White,0,Sepatu Compass kedua setelah pertama kali langsung suka sama Velocity. 👍🏻
Sepatu Compass Tribune Black Gum,0,mantapsss
Sepatu Compass Tribune Red Gum,0,very good quality and fast shipment. thank you
Sepatu Compass Tribune Navy Gum,0,"Ya okela. Better up size ges, co: gua biasanya 43, jd 44. Ga kebayang kalo lo ambil size yg pas bgt.

Bintang 4 karena barangnya suka goib. Dan masih mau cek awet apa eng... "
Sepatu Compass Tribune White Blue,0,"Local brand yg bisa diadu sama brand lain, nyaman dikaki dan semoga adain diskon compass biar makin rajin co koleksi lainnya👌🏻"
Sepatu Compass Tribune Black Gum,0,"Suka banget dengan modelnya, ukuran pas, gak kalah keren dengan merk luar."
Sepatu Compass Gazelle Low Black White,0,Barang sudah sampai terima kasih compass
Sepatu Compass Jersey LS Home Black,0,Mantap
Sepatu Compass Velocity Black,0,sepatunya agak kotor bekas di coba2 pembeli lain.
Sepatu Compass T-Shirt KPR Logo 2,0,Keren
Sepatu Compass Retrograde Hi Decon Black White,0,cakep
Sepatu Compass Retrograde Camp Hi Olive,0,Gokilllllll :) wajib punya
Sepatu Compass Gazelle Low Black Gum,0,Mantap barang nya sesuaii
Sepatu Compass Retrograde Camp Low Camel,0,Sepatu nya bagus nyaman pas menurutku harganya ga yang terlalu ramah di dompet💋🤎 tapii sayang packingnya rusak🤏🏼
Sepatu Compass Tribune Home Black,0,Sepatu lokal terbaik
Sepatu Compass T-Shirt KPR Logo 2,0,Keren yang ditunggu tunggu
Sepatu Compass Tribune White Blue,0,"sangat bagus, good"
Sepatu Compass T-Shirt KPR Logo 2,0,baru sekali pake tapi logo di leher langsung mau lepas
Sepatu Compass Gazelle Low Black White,0,💯💯💯💯
Sepatu Compass Tribune White Blue,0,"Keren banget kualitasnya okee pelayanan oke. Bisa tukar size juga, tadinya kebesaran tukar size ke 38. Mantep dah"
Sepatu Compass T-Shirt KPR Logo 2,0,Keren
Sepatu Compass Tribune Black Gum,0,"brang bagus tapi ko saya sz 40 panjang 26,5 cm aga ngepas ya ,biasa nya saya malah pake sz 41 panjang 26cm itu ga ngpres kaya yg ini"
Sepatu Compass T-Shirt KPR Logo 1,0,"DAPET HOKI CUYYY STOK TERAKHIRR, 
INI GILAA SI KEREN BANGETTT KAOS NYAA, KACAAUUU COMPASS KPR 🥶🥶🥶"
Sepatu Compass Retrograde Low White Blue,0,Bagus banget plis jadi pengen beli lagi
Sepatu Compass Velocity Black,0,"keren sepatunya, bagus,nyaman dipakai ,anakku suka ."
Sepatu Compass T-Shirt KPR Logo 1,0,🚀🚀🚀
Sepatu Compass Gazelle Hi KPR,0,"Cakeppp jahitan rapi banget, design gak usah ditanya, insole tebelll ga bikin pegel"
Sepatu Compass Tribune Navy Gum,0,cakeeep
Sepatu Compass Gazelle Hi KPR,0,Mantap
Sepatu Compass Gazelle Hi KPR,0,Baik cepat presisi
Sepatu Compass Gazelle Hi Black Gum,0,keren
Sepatu Compass Tribune Navy Gum,0,Terbaik😍
Sepatu Compass Tribune Black Gum,0,lumayan
Sepatu Compass Gazelle Hi KPR,0,sangarrtttrrrrrr
Sepatu Compass Gazelle Hi KPR,0,Keren KPR
Sepatu Compass Tribune Navy Gum,0,Box nyq rusakkkkkkk
Sepatu Compass Tribune Navy Gum,0,"Velocity 43 
Tapi kalo tribune kayanya harus 44"
Sepatu Compass T-Shirt KPR Logo 2,0,Kualitas produk: bagus banget sesuai kebutuhan
Sepatu Compass Gazelle Hi KPR,0,bagus banget sesuai ekspektasi saya
Sepatu Compass T-Shirt KPR Logo 1,0,Kece
Sepatu Compass Tribune White Blue,0,mantul
Sepatu Compass Gazelle Hi KPR,0,Matiiiiiiiiii mudaaaaaa matiiiii mudaaaaa
Sepatu Compass Tribune Black Gum,0,"Sepatu bagus tapi sayang double boxnya rusak sampai box aslinya rusak padahal ongkir bayar sampai ratusan, tolong kedepannya di perhatikan lagi"
Sepatu Compass Gazelle Hi KPR,0,compaasssss
Sepatu Compass Gazelle Hi KPR,0,sesuai
Sepatu Compass Retrograde Camp Hi Olive,0,barang nya bagus sesuai gambar seller fast respon dan  pengiriman sangat cepat sekali
Sepatu Compass Tribune Black Gum,0,"modelnya keren, sampai nya tepat waktu,"
Sepatu Compass Tribune Black Gum,0,"biasa pake 41/8, maju mundur karna di size chart 27cm, tapi masih aman soalnya bentuk sepatunya ngepas di kaki  👏"
Sepatu Compass Tribune Navy Gum,0,Mantappp!!!
Sepatu Compass Gazelle Hi KPR,0,"Mantap, kalo pake laces item kayanya lebih gaharr"
Sepatu Compass T-Shirt KPR Logo 1,0,Mantap
Sepatu Compass Gazelle Hi KPR,0,Bentuk dan ukuran: Pas
Sepatu Compass Gazelle Hi KPR,0,kecee parah
Sepatu Compass Gazelle Hi KPR,0,"Shape and size: Pas
Scent: Harum
Wearability: Belum tahu
Color: Black"
Sepatu Compass Gazelle Hi KPR,0,"sepatunya pas, puas bgt sama sepatunya"
Sepatu Compass Retrograde Camp Low Camel,0,"Pertama kali beli compass, puas sih semoga kualitasnya awet"
Sepatu Compass Gazelle Hi KPR,0,nice
Sepatu Compass Gazelle Hi KPR,0,"modelnya keren, seri gazelle yang ditunggu kombinasi warnanya, setelah black gum beli di tahun 2023 masih ada masih kuat, beli lagi dengan disain yang keren ini, gazelle... "
Sepatu Compass Retrograde Low Triple Black,0,Bgus banget
Sepatu Compass Gazelle Hi KPR,0,Bagus
Sepatu Compass Gazelle Popsicle Blue,0,Anaku seneng banget enak d pakai dan pas ukuran kakunya👍
Sepatu Compass Tribune White Blue,0,sesuai. box aman. pengiriman lebih cepat dari estimasi.
Sepatu Compass Gazelle Hi KPR,0,kiw kiw keren bet ini
Sepatu Compass Gazelle Hi White Blue,0,Mantap bgt
Sepatu Compass 25th COMPASS TOTEBAG,0,Bagus cumn gede bngt wkwkwk
Sepatu Compass Gazelle Hi KPR,0,KPR
Sepatu Compass Gazelle Hi KPR,0,aw
Sepatu Compass Gazelle Hi KPR,0,Kereen pisan asli
Sepatu Compass Tribune White Blue,0,pas di kaki ankku dan ankku suka skalii dgn modelnya
Sepatu Compass Retrograde Camp Low Camel,0,Mantap
Sepatu Compass Tribune Navy Gum,0,NICEE!!!
Sepatu Compass Tribune Black Gum,0,Mantappp
Sepatu Compass Retrograde Camp Low Camel,0,Sesuai ekspektasi mantab
Sepatu Compass Retrograde Low Black White,0,"Bentuk dan ukuran: Pas dikaki
Pengiriman cepat, bahan berkualitas, seller ramah dan responsif. Next repeat order dehhh😍"
Sepatu Compass Gazelle Low Black White,0,Bagus barang juga cepet nyampe 1 hari
Sepatu Compass Tribune Black Gum,0,Baguss
Sepatu Compass Gazelle Popsicle Yellow,0,Bagus! Simple tapi ngena! Pengiriman juga cepat dan aman
Sepatu Compass Gazelle Popsicle Green,0,keren klo dibuat silang warna.. untuk size kaki sama kayak istri
Sepatu Compass Gazelle Popsicle Yellow,0,di pake silang warna sama istri
Sepatu Compass Tribune Black Gum,0,"Wajid di beli si 
Note size up 1 ya biar pas di pake"
Sepatu Compass Tribune Black Gum,0,Kerennn
Sepatu Compass Tribune Black Gum,0,sepatu local dengan kualitas after sales yg TOP
Sepatu Compass Tribune Black Gum,0,Cakeppp
Sepatu Compass Retrograde Hi Decon Black White,0,baguss banget ngak nyesel beli compass
Sepatu Compass Tribune White Blue,0,👍
Sepatu Compass Tribune Away Maroon,0,"bagusss sukaa bngttt,  tp mnrt saya gprlu up size lg deh soalny pas sy up size ml kegedean"
Sepatu Compass Retrograde Camp Hi Olive,0,"anyar 🔥
mudamudahan awet
dus lumayan rusak pengiriman pakai J&T"
Sepatu Compass Gazelle Low Black White,0,Pesanan sudah sampai barangnya mulus tidak ada yang cacat semoga doi sukaaa
Sepatu Compass Tribune White Blue,0,ok la
Sepatu Compass Gazelle Low Cream,0,Sepatunya bagussss. terus dalemnya lembut gitu. kece banget!!
Sepatu Compass Tribune Black Gum,0,keren abis sepatu nya sampai dengan aman
Sepatu Compass Tribune White Green,0,baik
Sepatu Compass Tribune Black Gum,0,mantaps
Sepatu Compass Tribune Black Gum,0,"Sangat bagus,, sesuai"
Sepatu Compass Tribune Black Gum,0,"bagus, empuk, nyamana"
Sepatu Compass Tribune White Blue,0,"packing aman, pengiriman cepat, saran up 1 size apalagi yg kakinya gemuk, ovrall gud “yg ori kijangnya lompat dengan penuh keyakinan,ga keselo”."
Sepatu Compass Tribune Black Gum,0,good
Sepatu Compass Velocity Black Gum,0,Good
Sepatu Compass Tribune Black Gum,0,model kren nyaman pas dipakai
Sepatu Compass Gazelle Hi Cream,0,Compass pertama🍮
Sepatu Compass Tribune White Green,0,alhamdulillah abis restock langsung ambil. sizenya betul sesuai reviewer lain harus upsize 1. mantap pokoknya
Sepatu Compass Velocity Black,0,Keren sekali
Sepatu Compass Tribune White Blue,0,bagus bgt ini next order lagi
Sepatu Compass Tribune White Green,0,👍👍👍
Sepatu Compass Gazelle Hi Black Gum,0,Mantep banget
Sepatu Compass Tribune White Green,0,"worth the price, ga kalah sm high end!!!!"
Sepatu Compass Tribune Black Gum,0,Ok
Sepatu Compass Tribune Black Gum,0,"Desainnya bagus, kualitasnya oke, pelayanannya terbaik"
Sepatu Compass Retrograde Hi Decon Black White,0,baguss sesuai
Sepatu Compass Velocity Mint,0,"Barang sesuai pesanan kualitas barang juga oke,pengiriman juga cepat"
Sepatu Compass Tribune White Blue,0,Bagusss bgt sukaaaaak uk nya pun pas bgt next nabung buat velocity😍
Sepatu Compass Gazelle Hi Black Gum,0,"Barang sampai dengan tepat
Bentuk dan ukuran: Pas"
Sepatu Compass Gazelle Hi Black Gum,0,Muwantap
Sepatu Compass Tribune Away Maroon,0,Compass keren 👌
Sepatu Compass Gazelle Low Black White,0,intinya sesuai ekspetasi dan sempurna mau di sudut apapun ka
Sepatu Compass Tribune Black Gum,0,sesuai namanya sepatu tribune dimana model sepatu seperti ini sering dipakai oleh para pendukung sepakbola. sepatu yang cocok buat yg blm bisa beli brand luar. harganya a... 
Sepatu Compass Gazelle Hi Black Gum,0,Sangat bagus barang ori...keren
Sepatu Compass Tribune White Green,0,"Shrsnya up size sih, ngepas. Tp mantaplah.
Thanks Compass thanks kurir"
Sepatu Compass Tribune White Blue,0,Mantul pisan
Sepatu Compass Tribune White Green,0,"baguss produk nyaa
Bentuk dan ukuran: pass"
Sepatu Compass Gazelle Low Cream,0,Selalu de best! Udah repeat order sekeluarga. Sepatu yg cakep dan nyaman dipakai! ♥️🥰
Sepatu Compass Gazelle Low Cream,0,Bagus sippp
Sepatu Compass SENSOR TOTEBAG,0,Suka banget
Sepatu Compass Velocity Black,0,Mantap
Sepatu Compass Tribune Home Black,0,keren banget
Sepatu Compass Tribune Away Maroon,0,Joss
Sepatu Compass Gazelle Low White Red,0,keren
Sepatu Compass Tribune Black Gum,0,👍
Sepatu Compass Tribune Black Gum,0,"Barang nya oke banget, bagus, sesuai sama iklan dan alhamdulillah gaada masalah sama pengiriman, lumayan cepet"
Sepatu Compass Gazelle Low White Red,0,"Pas banget, model juga keren. Rekomendasi banget. Sesuai saran penjual beli ukuran dibawah ukuran biasa kalian dan pasti pas banget"
Sepatu Compass Gazelle Low Black Gum,0,pengiriman cepat sepatu nya mantap
Sepatu Compass Tribune White Blue,0,mantep pokoknya nyaman cuma agak kesempitan dikit tapi gak papa 🔥
Sepatu Compass SENSOR TOTEBAG,0,"Keren , proud product local👍🏻"
Sepatu Compass Tribune Home Black,0,"bagus, nyaman, semoga awet"
Sepatu Compass Tribune Black Gum,0,"keren banget sesuai sama di foto. 
insya allah mau beli yang putih 🔥🔥🔥🔥🔥"
Sepatu Compass Tribune Black Gum,0,"Modelnya keren, sports santai, enteng, kualitas bagus & compass selalu mantabb 🥰🤲🏼"
Sepatu Compass Tribune Black Gum,0,mantap barang bagus nyaman pokoknya
Sepatu Compass Tribune Home Black,0,gg
Sepatu Compass Tribune Away Maroon,0,ori
Sepatu Compass Velocity Black Gum,0,"Empuk banget,enak dipakek buat harian"
Sepatu Compass Gazelle Popsicle Blue,0,"cuaaakeeppo bgttt, adminnya ramah host live juga asik pokoknya besttt. kali ke 2 beli compass"
Sepatu Compass Tribune Home Black,0,Mantap
Sepatu Compass Tribune Black Gum,0,Terbaik⭐⭐⭐⭐⭐
Sepatu Compass Tribune Home Black,0,No respon sama sekali di dm. mau tuker size karna kekecilan hedeh kelamaan gak bales bales
Sepatu Compass Tribune Home Black,0,"Ukuran pas, model nya bagus bangt apalagi kualitas jangan di ragukan pokoknya goodd🔥🔥🔥"
Sepatu Compass Tribune Home Black,0,yang lokal lokal aja🤘🏻
Sepatu Compass Tribune Red Gum,0,kualitas produk bagus dan nyaman dipakai
Sepatu Compass Gazelle Popsicle Blue,0,puas sama sepatu nyaa
Sepatu Compass Tribune Home Black,0,Naaaaiiiiisssssss
Sepatu Compass Tribune Home Black,0,Mantap
Sepatu Compass Tribune Home Black,0,Mantab
Sepatu Compass Tribune Black Gum,0,"barang sampai dgn selamat dlm waktu 2 hari,untuk yg pengen beli dan punya kaki lebar mendingan di up 1-2 size aja."
Sepatu Compass Velocity Black Gum,0,bagus
Sepatu Compass Tribune Black Gum,0,Bagus sekali
Sepatu Compass Gazelle Low White Red,0,"Timur ke Barat
Selatan ke Utara"
Sepatu Compass Tribune Black Gum,0,Sepatunya mantaaap sesuai harga👍👍👍
Sepatu Compass SENSOR TOTEBAG,0,Kapasitas: lumayan
Sepatu Compass 25th COMPASS TOTEBAG,0,Bahan: bagus dan tebal
Sepatu Compass Gazelle Hi Black White,0,sayang banget ga ada ukuran 43
Sepatu Compass SENSOR TOTEBAG,0,Mantep
Sepatu Compass Tribune Black Gum,0,Mantapppp sekaleeee
Sepatu Compass Tribune Home Black,0,mantap
Sepatu Compass Tribune Home Black,0,keren
Sepatu Compass Tribune Home Black,0,Cakep sepatu nya
Sepatu Compass Tribune Home Black,0,"Gokill yang di nanti nanti datang
bagus sangat, jaitan dan pengeleman rapih"
Sepatu Compass Tribune Home Black,0,Matapsss
Sepatu Compass Tribune Black Gum,0,Makasih
Sepatu Compass Tribune White Blue,0,Kerennn poll!!
Sepatu Compass Velocity Black,0,sangat keren
Sepatu Compass Tribune Home Black,0,Sepatunya sangat nyaman cuman sayang bgt kardusnya hancur
Sepatu Compass Gazelle Popsicle Red,0,"Keren hahaha di foto sole putih, aslinya putih tulang makin makin🔥"
Sepatu Compass Velocity Black,0,Bagus bngett
Sepatu Compass Tribune Home Black,0,Cakepp
Sepatu Compass Tribune Black Gum,0,Keren
Sepatu Compass Velocity Black,0,nyaman dipake
Sepatu Compass Gazelle Low White Red,0,"saran aja kalo ambil compas ambil size dibawah yg biasa lu pake, contoh biasa pake size 43 nah kalo beli compas ambil size 42"
Sepatu Compass Retrograde Low White Blue,0,Sangat bagus sepatu nya semoga awet terus sepatu nya 🤩
Sepatu Compass Tribune White Blue,0,Cakep
Sepatu Compass Tribune Away Maroon,0,jangan lupa upsize buat yang kakinya lebar
Sepatu Compass Tribune Home Black,0,"Daya tahan pakai: Blm teruji
Warna: Sesuai"
Sepatu Compass Tribune White Blue,0,Keren banget
Sepatu Compass Tribune Away Maroon,0,sipppp
Sepatu Compass Tribune Home Black,0,Sesuai
Sepatu Compass Gazelle Hi Black White,0,"pas ukurannya mantap, ternyata dpt tali hitam jg"
Sepatu Compass Tribune White Blue,0,Kakkoiiiiiii🤩
Sepatu Compass Tribune Away Maroon,0,"Bentuk dan ukuran: Pas nyaman dipakai
Duhh gantengnya"
Sepatu Compass Tribune Home Black,0,"Bentuk dan ukuran: Pas nyaman dipakai
Duhh gantengnya"
Sepatu Compass SENSOR TOTEBAG,0,"Bahan: Tebal
Kapasitas: Besar
Pokoknya the best lah"
Sepatu Compass Tribune Home Black,0,Bagus cocok
Sepatu Compass Tribune Home Black,0,good
Sepatu Compass Tribune Away Maroon,0,Bagus mantapp
Sepatu Compass Tribune Home Black,0,emang cakep parahhh pokoknya
Sepatu Compass Tribune Black Gum,0,"Bahan nya nyaman, modelnya keren, ukuran nya pas banget sesuai"
Sepatu Compass Tribune Away Maroon,0,geloo keren gini
Sepatu Compass Tribune Black Gum,0,"Asli kece parah, barang nyampe dengan selamat tanpa cacat sedikitpun, pengiriman juga cepet 2 hari, gg parah"
Sepatu Compass Gazelle Hi Black White,0,"Bentuk dan ukuran: pas tapi longgar dikit
Aroma: baruu ori 100%
Warna: sesuai"
Sepatu Compass Shoelace Off White,0,Nice
Sepatu Compass Gazelle Low White Red,0,Ok
Sepatu Compass Tribune Black Gum,0,barang nya okee pas ukuran nya
Sepatu Compass Tribune Black Gum,0,"gacor dah compas 
#YANGLOKAL-LOKALAJA"
Sepatu Compass Tribune Home Black,0,bom bom bom bom
Sepatu Compass Tribune Home Black,0,wiii mantulll sekalii nii
Compass Velocity Black,0,bagussssss
Sepatu Compass Tribune Black Gum,0,Mantap pondok Indonesia
Sepatu Compass Tribune Black Gum,0,My first compass and i like it. Penasaran tribune away maroonnya
Sepatu Compass Velocity Grey,0,"Terimakasih Seller 
Terimakasih Kurir 
Terimakasih Tokopedia"
Sepatu Compass Gazelle Low Black Gum,0,mantapnyo
Sepatu Compass Tribune Black Gum,0,keren
Sepatu Compass Velocity Black,0,Gsgwhhebejekebdheuejebdkebdidbdjeksbsodndbejjendjdjdbeoekdbroekdnbdhdoemebjeke dkendhrjejeknejdjekekendbdjekkendkdkekejejejendbdjdjdjdkdkdndjffjj
Sepatu Compass Gazelle Hi Black White,0,prrprrpatapim
Sepatu Compass Velocity Grey,0,Sepatu nya keren dan bahan Bagus
Sepatu Compass Tribune Black Gum,0,Ok
Compass Gazelle Low Black Gum,0,"ukuran sesuai, pengiriman cepat"
Sepatu Compass Tribune Home Black,0,"Bentuk dan ukuran: Pas
Warna: Sesuai"
Sepatu Compass Retrograde Slip On Cream,0,Welll
Sepatu Compass Gazelle Low Black White,0,"Respon penjual gercep, barang cepat sampai, tidak diragukan lagi compass mah sepatu lokal terbaik🤙.
#produklokaljuara🇮🇩"
Sepatu Compass Tribune White Green,0,Hhh
Sepatu Compass Velocity Black Gum,0,Bagus
Sepatu Compass Velocity Black,0,"SMoga hrga sgitu kualitas sesuai,untuk skrng smua aman"" saja smoga awet aj"
Sepatu Compass Velocity Black,0,kerennn
Sepatu Compass Tribune Home Black,0,kece banget ✨
Sepatu Compass Tribune Black Gum,0,keren
Sepatu Compass Tribune White Blue,0,Top mantap is the best🥰🤘
Sepatu Compass Velocity Grey,0,Cocok
Sepatu Compass Gazelle Popsicle Blue,0,barangnya bagus
Sepatu Compass Tribune Black Gum,0,"sepatu compas ke 2 saya, mantab langsung cekout dapet gratis ongkir dan potongan harga dari tokopedia, terimakasih"
Sepatu Compass Gazelle Low Cream,0,"Warna: Kerenn
Bentuk dan ukuran: Pas dan nyaman bgt di kaki , ambil uk 40 ternyata pas dan cocok di kaki"
Sepatu Compass Tribune Red Gum,0,🤙🤙
Sepatu Compass Tribune Black Gum,0,"Puas banget dengan, Poko nya mantap lah nih sepatu 👍 walau harga nya lumayan wkwk 😂"
Sepatu Compass Gazelle Low Black White,0,"Selalu RO beli gazelle klo rusak krn cocok utk kaki lebar & flat seperti kaki saya, susah soalnya cari sepatu vulkanisir utk model kaki lebar dipasaran. Skrng lebi ra... "
Sepatu Compass Velocity Black,0,Mantap
Sepatu Compass Tribune Away Maroon,0,Bagus dan lucu
Sepatu Compass Tribune Black Gum,0,"sudah sampai, pas banget makasiii min packingan manteppp"
Sepatu Compass Tribune Black Gum,0,kaget banget aku pikir datangnya bakal lama ternyata lumayan cepet datengnya tapi sayangnya kardus sepatunya aku pikir di bubble wrap ternyata enggak jadi lumayan agak le... 
Sepatu Compass Tribune Black Gum,0,Lasung di pakai orangnya jirr
Sepatu Compass Tribune Away Maroon,0,Bagus
Sepatu Compass Gazelle Low Cream,0,100% mantap
Sepatu Compass Gazelle Popsicle Blue,0,Bagus
Sepatu Compass Tribune White Blue,0,cakep kalii
Sepatu Compass Tribune Black Gum,0,barang mendarat dengan aman tanpa cacat dan lecet sedikitpun👍
Sepatu Compass Velocity Black,0,good
Sepatu Compass Tribune Black Gum,0,Semoga awet bagus banget cuman sedikit ada lem pada bagian sisi nya tp overall ok
Sepatu Compass Velocity Black,0,Bagus boy sikaat 🧨🔥
Sepatu Compass Gazelle Low Cream,0,mantap
Sepatu Compass Tribune Black Gum,0,mantapp
Sepatu Compass Gazelle Popsicle Green,0,"sesuai ekspesktasi, mantap"
Sepatu Compass Velocity Grey,0,Tapsss
Sepatu Compass Tribune 4884 Black,0,"Sukaaa banget, sepertinya keputusan yg tepat buat ambil size 37. Makasih mimin udh rekomndasiin up size 38 tpi karena sisa size 36-37, dan kaki aku memang bukan tipe yg l... "
Sepatu Compass Tribune White Blue,0,"Mantap cociks sesuai kebutuhan, nyaman"
Sepatu Compass Velocity Black,0,"keren emnh compas
Bentuk dan ukuran: true size"
Sepatu Compass Tribune Home Black,0,nice
Sepatu Compass Tribune Black Gum,0,Oke mantap
Sepatu Compass Velocity Grey,0,Joss
Sepatu Compass Velocity Grey,0,Makasih bagus bngt sepatunya pas ukurannya dipakai suami empuk saat dipakai
Sepatu Compass Velocity Grey,0,Ok
Sepatu Compass Retrograde Intro White,0,BAGUS BAT BUSETDAH KEREN AMAT CIHUY ASOY
Sepatu Compass Tribune Red Gum,0,Ok
Sepatu Compass Velocity Black,0,Kerennn. Banget
Sepatu Compass Gazelle Hi White Red,0,Bagus
Sepatu Compass Tribune Black Gum,0,bagus buat nribune
Sepatu Compass Tribune Home Black,0,mantappp
Sepatu Compass Velocity Grey,0,mantap
Sepatu Compass Tribune Away Maroon,0,mantap
Sepatu Compass Velocity Black,0,"Kurir mantap
Toko mantap
Thanks compaaas & jnt"
Sepatu Compass Velocity Black,0,Agak kotor si sepatunya
Sepatu Compass Tribune Black Gum,0,Bagus bgt brand local gak ngecewaiin💖
Sepatu Compass Tribune Black Gum,0,Matapp boss kuyy
Sepatu Compass Gazelle Low Black White,0,"uk 39 kegedean, tapi semuanya bagus kok"
Sepatu Compass Tribune Away Maroon,0,Good
Sepatu Compass Tribune Away Maroon,0,Much
Sepatu Compass Tribune Away Maroon,0,Laove
Sepatu Compass Tribune Away Maroon,0,Beautiful
Sepatu Compass Tribune Away Maroon,0,Excellent
Sepatu Compass Tribune Away Maroon,0,Amazing
Sepatu Compass Tribune Away Maroon,0,Nice
Sepatu Compass Tribune Away Maroon,0,Good
Sepatu Compass Velocity Black Gum,0,Kereen
Sepatu Compass Retrograde Low White Blue,0,good shoes for a fried market price lol and don't forget to go down one size from your usual size
Sepatu Compass Tribune Away Maroon,0,ori
Sepatu Compass Tribune Black Gum,0,o
Sepatu Compass Tribune Black Gum,0,Keren banget
